city,edition,sport,discipline,athlete,noc,gender,event,event_gender,medal,is_medalist,year
Athens,1896,Aquatics,Swimming,"HAJOS, Alfred",HUN,MEN,100m freestyle,M,Gold,1,1896
Athens,1896,Aquatics,Swimming,"HERSCHMANN, Otto",AUT,MEN,100m freestyle,M,Silver,1,1896
Athens,1896,Aquatics,Swimming,"DRIVAS, Dimitrios",GRE,MEN,100m freestyle for sailors,M,Bronze,1,1896
Athens,1896,Aquatics,Swimming,"MALOKINIS, Ioannis",GRE,MEN,100m freestyle for sailors,M,Gold,1,1896
Athens,1896,Aquatics,Swimming,"CHASAPIS, Spiridon",GRE,MEN,100m freestyle for sailors,M,Silver,1,1896
Athens,1896,Aquatics,Swimming,"CHOROPHAS, Efstathios",GRE,MEN,1200m freestyle,M,Bronze,1,1896
Athens,1896,Aquatics,Swimming,"HAJOS, Alfred",HUN,MEN,1200m freestyle,M,Gold,1,1896
Athens,1896,Aquatics,Swimming,"ANDREOU, Joannis",GRE,MEN,1200m freestyle,M,Silver,1,1896
Athens,1896,Aquatics,Swimming,"CHOROPHAS, Efstathios",GRE,MEN,400m freestyle,M,Bronze,1,1896
Athens,1896,Aquatics,Swimming,"NEUMANN, Paul",AUT,MEN,400m freestyle,M,Gold,1,1896
Athens,1896,Aquatics,Swimming,"PEPANOS, Antonios",GRE,MEN,400m freestyle,M,Silver,1,1896
Athens,1896,Athletics,Athletics,"LANE, Francis",USA,MEN,100m,M,Bronze,1,1896
Athens,1896,Athletics,Athletics,"SZOKOLYI, Alajos",HUN,MEN,100m,M,Bronze,1,1896
Athens,1896,Athletics,Athletics,"BURKE, Thomas",USA,MEN,100m,M,Gold,1,1896
Athens,1896,Athletics,Athletics,"HOFMANN, Fritz",GER,MEN,100m,M,Silver,1,1896
Athens,1896,Athletics,Athletics,"CURTIS, Thomas",USA,MEN,110m hurdles,M,Gold,1,1896
Athens,1896,Athletics,Athletics,"GOULDING, Grantley",GBR,MEN,110m hurdles,M,Silver,1,1896
Athens,1896,Athletics,Athletics,"LERMUSIAUX, Albin",FRA,MEN,1500m,M,Bronze,1,1896
Athens,1896,Athletics,Athletics,"FLACK, Edwin",AUS,MEN,1500m,M,Gold,1,1896
Athens,1896,Athletics,Athletics,"BLAKE, Arthur",USA,MEN,1500m,M,Silver,1,1896
Athens,1896,Athletics,Athletics,"GMELIN, Charles",GBR,MEN,400m,M,Bronze,1,1896
Athens,1896,Athletics,Athletics,"BURKE, Thomas",USA,MEN,400m,M,Gold,1,1896
Athens,1896,Athletics,Athletics,"JAMISON, Herbert",USA,MEN,400m,M,Silver,1,1896
Athens,1896,Athletics,Athletics,"GOLEMIS, Dimitrios",GRE,MEN,800m,M,Bronze,1,1896
Athens,1896,Athletics,Athletics,"FLACK, Edwin",AUS,MEN,800m,M,Gold,1,1896
Athens,1896,Athletics,Athletics,"DANI, Nandor",HUN,MEN,800m,M,Silver,1,1896
Athens,1896,Athletics,Athletics,"VERSIS, Sotirios",GRE,MEN,discus throw,M,Bronze,1,1896
Athens,1896,Athletics,Athletics,"GARRETT, Robert",USA,MEN,discus throw,M,Gold,1,1896
Athens,1896,Athletics,Athletics,"PARASKEVOPOULOS, Panagiotis",GRE,MEN,discus throw,M,Silver,1,1896
Athens,1896,Athletics,Athletics,"CLARK, Ellery",USA,MEN,high jump,M,Gold,1,1896
Athens,1896,Athletics,Athletics,"CONNOLLY, James",USA,MEN,high jump,M,Silver,1,1896
Athens,1896,Athletics,Athletics,"GARRETT, Robert",USA,MEN,high jump,M,Silver,1,1896
Athens,1896,Athletics,Athletics,"CONNOLLY, James",USA,MEN,long jump,M,Bronze,1,1896
